pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
9232139,3,1,1,2,2,0,2,0,0,2,1,1,1,1,0,0,0,0,3,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,1,2,1,0,0,1,1,0,0,1,2,3
4339167,3,8,3,1,9,0,7,0,0,2,2,2,2,2,0,0,0,0,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,6,3,14,0,10,1,0,2,2,1,2,2
4558017,3,7,6,1,7,2,7,0,0,1,2,2,5,5,1,1,1,0,6,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,6,0,0,1,0,1,1,2,1,2,2
9463693,3,15,4,1,12,1,7,0,0,1,12,12,7,7,0,0,1,1,8,9,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,5,7,4,0,21,0,0,4,5,1,1,2
9504712,3,12,5,1,14,9,17,0,0,1,5,5,5,5,2,2,0,0,12,20,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,9,1,1,1,2,1,1,1,3,1,4,4,4,1,1,1,4,0,27,0,0,1,0,3,3,1,1,2
5487910,3,10,2,1,5,0,4,1,0,2,0,0,1,1,2,2,1,1,0,5,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,3,3,0,0,0,1,0,1,1,2,2
9978287,3,4,1,7,5,0,1,2,0,2,1,0,2,0,0,0,0,0,1,3,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,1,2,1,0,0,0,1,0,0,2,1,2
5257955,2,8,1,1,5,2,0,0,1,2,1,1,1,1,0,0,0,0,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,2,1,0,0,0,1,0,0,1,2,2
2994464,3,8,4,1,8,1,6,0,0,1,2,2,2,2,0,0,1,1,21,8,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5,2,10,0,0,0,0,1,1,1,2,2
1180617,2,2,2,1,12,3,12,0,0,1,3,3,2,2,2,2,2,2,9,6,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,2,3,150,0,1,0,1,1,1,2,2
2863647,2,3,3,1,13,5,12,0,0,1,5,5,4,4,2,2,3,3,10,8,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,1,1,8,0,0,0,1,2,0,1,2,3
9972310,3,13,8,1,18,3,13,2,0,2,5,5,8,8,1,1,0,0,8,7,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,2,4,1,4,4,4,4,4,4,1,1,1,9,0,20,0,1,1,1,1,1,1,1,2
2679566,3,6,2,1,5,0,6,0,0,2,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,1,7,5,0,0,0,1,1,1,1,2,2
6592321,2,2,2,2,5,4,5,0,0,1,2,2,0,0,0,0,0,0,0,0,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,1,1,0,1,1,1,1,2
3394759,3,3,1,8,7,7,4,1,2,1,1,1,1,1,0,0,0,0,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,1,1,1,0,0,0,1,0,0,1,2,2
8255590,3,5,1,2,5,1,2,1,0,2,1,1,2,2,0,0,1,1,1,1,1,2,2,1,2,2,1,2,2,1,2,2,1,3,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,1,2,1,0,0,0,1,0,1,1,2,2
5978702,3,15,3,7,14,3,8,0,0,2,2,2,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,2,4,4,4,4,1,1,1,10,0,15,0,1,1,0,2,2,1,1,2
4497831,3,4,1,1,2,0,1,0,0,2,1,1,1,1,0,0,0,0,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,1,0,1,0,0,0,1,0,1,1,2,2
4121930,1,1,4,1,66,7,66,0,0,1,42,38,29,27,17,12,13,9,76,54,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,4,1,1,9,4,0,100,0,15,2,30,10,8,1,1,1
3229743,3,11,6,7,14,3,9,5,0,1,3,3,4,4,0,0,0,0,3,4,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,9,1,1,1,2,2,2,2,4,4,4,4,4,1,1,1,11,0,21,0,21,2,2,2,1,1,2,2
4900350,2,2,2,1,14,5,12,0,0,1,4,4,4,4,0,0,0,0,8,8,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,10,0,0,0,4,2,2,1,2,3
5500412,1,1,1,1,13,4,13,0,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,15,0,0,0,0,0,0,1,2,1
9101266,2,6,6,1,7,2,7,0,0,1,1,1,2,2,0,0,0,0,3,4,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,2,2,4,0,0,1,1,1,1,1,2,2
7319298,3,7,2,7,8,1,11,0,0,2,2,2,5,5,0,0,0,0,4,4,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,2,0,25,0,0,1,0,1,2,1,2,2
9311640,3,12,3,1,40,2,26,0,0,1,0,0,16,16,0,0,1,1,0,0,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,2,4,4,4,4,4,4,4,4,4,1,1,6,1,32,0,0,2,1,3,2,1,2,2
