pseudocode,state,district,block,school loc,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
4839496,TAMIL NADU,KRISHNAGIRI,KELAMANGALAM,1,,,Erudukotta,Irudhukottai,KELAMANGALAM,2,3,1,8,1,635107,2,2,3,0,2,19,0,0,0,2,2,1,2,2,206,1,0,0,0,0,1,7
3176704,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,1,,,Kattiganapalli (Ct),Kattigaanapalli,KRISHNAGIRI,7,3,6,10,1,635001,2,2,3,0,2,16,19,0,0,2,0,1,9,0,210,1,0,0,0,0,0,0
6024236,TAMIL NADU,KRISHNAGIRI,KELAMANGALAM,1,,,Nagamangalam,Nagamangalam,KELAMANGALAM,2,3,1,8,1,635113,2,2,3,0,2,16,0,0,0,2,2,1,1,2,206,1,8,7,0,0,1,0
4778251,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,1,,,Mottur,Nedungal,KAVERIPATTINAM,5,3,6,12,1,635112,2,2,3,0,2,19,16,0,0,2,2,1,9,0,210,1,0,0,0,0,0,0
3736181,TAMIL NADU,KRISHNAGIRI,BARGUR,1,,,Mahadevagollahalli,Mahadevagollahalli,BARGUR,2,3,1,8,1,635206,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,1,0,0,0,0
9550540,TAMIL NADU,KRISHNAGIRI,VEPPANAPALLI,1,,,Kodipalli,Kodipalli,VEPPANAPALLI,2,3,1,8,1,635115,2,2,3,0,2,19,16,0,0,2,2,1,1,1,210,1,2,2,0,0,0,0
4540866,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Manchukondapalli,Manjugondapalli,THALLY,2,3,1,8,1,635102,2,2,3,0,2,16,0,0,0,2,2,2,2,2,210,1,0,0,0,0,3,5
6033035,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Arasakuppam,Arasakuppam,THALLY,2,3,1,8,1,635107,2,2,3,0,2,19,0,0,0,2,2,1,2,1,206,1,0,0,0,0,2,4
6889095,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Noganoor,Noganur,THALLY,2,3,1,8,1,635107,2,2,3,0,2,16,0,0,0,2,2,1,2,1,210,1,0,0,0,0,4,1
8478256,TAMIL NADU,KRISHNAGIRI,HOSUR,2,Hosur,Hosur (M) - Ward No.25,,,,7,2,6,10,1,635109,2,2,3,0,2,16,19,0,0,2,0,1,9,0,210,1,0,0,0,0,0,0
4670216,TAMIL NADU,KRISHNAGIRI,VEPPANAPALLI,1,,,Bathimadugu,Bathimadugu,VEPPANAPALLI,2,3,1,8,1,635121,2,2,3,0,2,16,0,0,0,2,2,1,2,2,206,1,0,0,0,0,1,2
3550543,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,1,,,Bannihalli,Bannihalli,KAVERIPATTINAM,7,3,6,10,1,635106,2,2,3,0,2,16,0,0,0,2,0,1,9,0,200,1,0,0,0,0,0,0
9478378,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,1,,,Kothigutalapalli,Mekalachinnampalli,KRISHNAGIRI,5,3,6,12,1,635120,2,2,3,0,2,16,0,0,0,2,2,1,9,0,203,1,0,0,0,0,0,0
4849288,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Kumbalam,Kumbalam,SHOOLAGIRI,2,3,1,8,1,635117,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,0,0,0,0
9213950,TAMIL NADU,KRISHNAGIRI,BARGUR,1,,,Kondappanayakempalli,Kondappanayanapalli,BARGUR,2,3,1,8,1,635108,2,2,3,0,2,16,19,0,0,2,2,1,1,1,206,1,1,1,0,0,0,0
2666911,TAMIL NADU,KRISHNAGIRI,HOSUR,1,,,Belathur,Belathur,HOSUR,7,3,6,10,1,635124,2,2,3,0,2,19,16,0,0,2,0,1,9,0,197,1,0,0,0,0,0,0
7111627,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Chennapalli,Chennapalli,SHOOLAGIRI,2,3,1,8,1,635117,2,2,3,0,2,19,0,0,0,2,2,1,2,2,220,1,0,0,2,0,0,0
