pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
6757005,0,9,1,2,2,2,2,1,10,8,0,1,3,10,25000,25000
4213808,2,9,1,1,1,2,2,1,12,3,0,1,9,10,25000,25000
9874312,2,9,1,1,1,2,2,1,6,8,0,1,9,6,25000,25000
6528176,1,9,1,1,1,1,1,1,17,2,0,1,9,11,50350,50350
7276886,1,9,1,1,1,2,2,1,11,3,0,1,9,6,10000,10000
5729536,2,9,1,1,1,2,2,1,11,16,1,1,9,8,10000,10000
5629570,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2444103,1,9,1,1,1,2,2,1,10,2,0,1,9,11,10000,10000
2880089,2,9,1,1,1,2,2,1,8,5,0,1,9,10,25000,25000
3887549,0,9,1,2,2,1,1,3,11,5,4,1,3,11,75000,75000
4874843,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5607829,2,9,1,1,1,1,1,1,11,3,1,1,9,9,25000,25000
5933830,2,9,1,1,1,1,1,1,11,3,0,1,9,13,50000,50000
5056665,2,9,1,1,1,2,2,1,10,7,0,1,9,10,25000,25000
3469754,2,9,1,1,1,2,2,1,6,9,1,1,9,7,25000,25000
1440886,2,9,1,1,1,2,2,2,10,4,1,1,9,6,25000,25000
7467705,2,9,1,1,1,2,2,1,10,21,1,1,9,10,25000,25000
4523821,0,9,1,2,2,1,1,0,10,4,1,1,3,10,26000,26000
7353499,2,9,1,1,1,2,2,1,12,3,0,1,9,7,25000,25000
1743821,0,9,2,2,2,1,1,0,12,2,0,1,3,10,65000,65000
1426558,1,9,1,1,1,2,2,1,10,4,0,1,9,8,25000,25000
9104664,1,9,1,1,1,2,2,1,11,10,0,1,9,5,25000,25000
4771374,2,9,1,1,1,2,2,1,10,7,0,1,9,7,10000,10000
8147313,2,9,1,1,1,2,2,1,6,3,0,1,9,6,25000,25000
8391281,2,9,1,1,1,1,1,1,10,3,0,1,9,8,50000,50000
3958107,2,9,1,1,1,2,2,1,8,2,0,1,9,15,10000,10000
2690410,2,9,1,1,1,2,2,1,10,8,0,1,9,6,10000,10000
9500126,2,9,1,1,1,2,2,1,12,5,0,1,9,7,10000,10000
3243204,2,9,1,1,1,2,2,1,11,7,0,1,9,11,50000,50000
3444756,0,9,1,2,2,1,1,1,11,0,0,1,3,9,52170,52170
