pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
1003440,3,0,3,0,1,1,0,1,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3
1008656,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1009622,2,0,2,0,0,0,0,2,2,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2
1015180,2,0,2,0,1,1,0,0,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
1018069,3,2,1,0,0,2,0,1,2,1,0,0,1,2,3,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2
1024982,18,5,13,0,1,3,0,14,14,3,1,0,1,17,5,0,0,0,3,11,4,0,0,0,18,0,0,15,2,0,1,0,0,0,0,0,0
1045346,46,25,21,0,0,14,0,32,37,7,2,0,4,42,33,0,4,0,22,17,3,0,0,0,16,0,0,39,5,1,1,0,0,0,0,0,16
1066632,3,1,2,0,0,0,0,3,2,1,0,0,1,2,2,3,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,2
1068545,2,0,2,0,0,0,0,2,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
1081925,7,5,2,0,0,2,0,5,5,2,0,0,1,6,6,0,1,0,2,0,4,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,6
1085196,3,2,1,0,0,0,0,3,0,3,0,0,2,1,2,1,1,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
